OBJECTID,PARK_NAME,PARK_ACRE,REGION,OPS_DIST,PARK_TYPE,OLMSTED,PARK_WEB,FULLADDR,PUBLIC_,RESTROOM,CONFERENCE,PICNIC,CAMPING,SWIMMING,HIKING,FISHING,PLAYGROUND,GOLF,SOCCER,BASEBALL,BASKETBALL,FOOTBALL,TENNIS,HORSEBACK,VOLLEYBALL,WALKING,MULTIFIELD,SPRAYPADS,SPRAYGRND,COMMUNITY,SPECIAL,SKATEPARK,SHAPEAREA,SHAPELEN
99,CHEROKEE GOLF COURSE,62.80147165,,GOLF,GOLF COURSE,YES,https://louisvilleky.gov/content/cherokee-golf-course,2501 ALEXANDER RD,,,,,,,,,,,,,,,,,,,,,,,,,2735621.16261328,7837.2267190151
100,THURMAN HUTCHINS,77.82186086,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/thurman-hutchins-park,3734 RIVER RD,,YES,,YES,,,,YES,YES,,,,,,,,,YES,YES,,,,PATRIOTS PEACE MEMORIAL,,3389906.69955234,11608.826385902
101,BAXTER SQUARE,3.99399598,,SOUTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/baxter-square,301 SOUTH 12TH ST,,,,YES,,,,,YES,,,,YES,,YES,,,,,,YES,BAXTER COMMUNITY CENTER,,,173977.769074219,1669.63228821356
102,LONG RUN,212.42351156,,VETTINER,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/long-run-park,1605 FLAT ROCK RD,,YES,,YES,,,,YES,YES,,,,YES,,YES,YES,YES,YES,YES,,YES,,BOAT RAMP,,9253131.15111016,15278.0753638551
103,AUBURNDALE,3.80901758,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/auburndale-park,7260 SOUTHSIDE DR,,,,YES,,,,,YES,,,,,,YES,,,,,,,,,,165920.141982031,1918.03977931794
104,BALLARD,0.99949686,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/ballard-park,525 CALDWELL ST,,,,,,,,,YES,,,,YES,,,,,,,,,,,,43537.9091015625,835.393061135401
105,BERRYTOWN,24.31890438,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/berrytown-park,1300 HEAFER RD,,YES,,YES,,,,,YES,,,,YES,,YES,,,,,,,,HORSESHOE PITS,,1059327.23737422,4178.25768047054
106,BLACK MUDD,18.10596662,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/black-mudd-park,1708 RANGELAND RD,,,,YES,,,,,YES,,,,YES,,YES,,,,,,,,HORSESHOE PITS,,788692.751089063,4285.48369484822
107,BLUE LICK,25.68954709,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/blue-lick-park,4114 MUDD LN,,,,YES,,,,,YES,,,,YES,,YES,,,YES,,,,,COMMUNITY GARDEN,,1119032.19527266,4910.11104165194
108,BOBBY NICHOLS GOLF COURSE,109.90675477,,GOLF,GOLF COURSE,NO,https://louisvilleky.gov/content/bobby-nichols-golf-course, 4301 EAST PAGES LN,,,,,,,,,,,,,,,,,,,,,,,,,4787519.08763984,10350.5122934045
109,BRESLIN,11.08379439,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/breslin-park,1388 LEXINGTON RD,,YES,,YES,,,,,YES,,,,,,,,,YES,YES,,YES,,,YES,482808.152532031,4353.50007747257
110,CHURCHILL,6.99611393,,SOUTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/churchill-park,2649 HELM ST,,,,,,,,,,,,,,,,,,,,,,,,,304749.503675781,2536.57652700628
111,FAIRMONT FALLS,12.0099915,,NATURAL AREAS,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/fairmount-falls-park,9800 THIXTON LN,,,,,,,YES,,,,,,,,,,,,,,,,WATERFALL OPEN BY PERMIT ONLY,,523153.137185937,4041.32503103496
112,FARMAN,4.13105236,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/farman-park,100 FARMAN CT,,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,179947.921004688,1990.07370534814
113,FERN CREEK,30.39661702,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/fern-creek-park,8703 FERNDALE RD,,YES,,YES,,,YES,,YES,,,,,,YES,,,YES,YES,,,,,,1324071.34116875,5338.27026950276
114,FISHERMAN'S,59.12350528,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/fishermans-park,5607 OLD HEADY RD,,,,YES,,,,YES,,,,,,,,,,YES,,,,,,,2575409.58830391,7958.45296856491
115,JOE CREASON,65.022892,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/joe-creason-park,1297 TREVILIAN WAY,,YES,,YES,,,YES,,YES,,,,,,YES,,YES,YES,YES,,,,HOME OF METRO PARKS ADMINISTRATION BUILDING,,2832385.84583828,9078.94308969218
116,LANNAN,24.6730318,,NORTHWEST,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/lannan-park,901 NORTH 26TH ST,,YES,,YES,,,,,YES,,,,YES,,YES,,YES,YES,YES,,,,,,1074752.96609766,6112.86795885302
117,PETERSBURG,35.52288553,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/petersburg-park,5008 EAST INDIAN TR,,YES,,YES,,,,,YES,,,YES,,,YES,,,YES,YES,,YES,NEWBURG COMMUNITY CENTER,,,1547370.70420703,9420.54780066898
118,SOUTH CENTRAL,10.85874706,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/south-central-park,2400 COLORADO AVE,,,,YES,,,,,YES,,,,YES,,,,,YES,YES,,,,,,473005.1299625,2779.23404014747
119,TOONERVILLE TROLLEY,2.10502739,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/toonerville-trolley-park,218 EAST OAK ST,,,,,,,,,YES,,,,,,YES,,,,YES,,,,DOG RUN,,91694.6262226563,2236.68989513456
120,WYANDOTTE,23.78132328,,SOUTHWEST,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/wyandotte-park,1104 BEECHER ST,,YES,,YES,,,,,YES,,,,YES,,YES,,YES,YES,,,YES,,HORSESHOE PIT,,1035910.29830078,4924.22926498843
121,EVA BANDMAN,47.56578205,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/eva-bandman-park-cyclocross-venue,1701 RIVER RD,,,,,,,,,,,,,,,,,,,,,,,CYCLOCROSS COURSE,,2071957.17808906,12064.5620084938
122,BEARGRASS CREEK GREENWAY AT IRISH HILL,37.19983537,,NATURAL AREAS,GREENWAY/TRAIL,NO,https://louisvilleky.gov/government/jefferson-memorial-forest/beargrass-creek-greenway-irish-hill,2001 LEXINGTON RD,,,,,,,,,,,,,,,,,,YES,,,,,,,1620418.34708594,12200.5834720389
123,WILLIAM B. STANSBURY,6.66039545,,SOUTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/william-b-stansbury-park,2302 SOUTH THIRD ST,,,,,,,,,,,,,,,,,,,,,,,,,290125.665384375,2738.49872944985
124,A.B. SAWYER,47.4018749,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/ab-sawyer-park,9300 WHIPPS MILL RD,,YES,,YES,,,,,YES,,,YES,,,YES,,,,YES,,,,,,2064817.41138516,6392.69158853244
125,LOCUST GROVE,54.9043424,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/locust-grove,561 BLANKENBAKER LANE,,YES,,,,,,,,,,,,,,,,,,,,,,,2391623.58838203,7153.29945764217
126,BEECHMONT TOT LOT,1.37945075,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/beechmont-tot-lot, 205 WEST WELLINGTON AVE,,,,,,,,,YES,,,,YES,,,,,,,,YES,BEECHMONT COMMUNITY CENTER,,,60088.63453125,1000.06115896993
127,CASTLEWOOD OPEN SPACE,1.80092183,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/castlewood-open-space,1406 CASTLEWOOD AVE,,,,,,,,,,,,,,,,,,,,,,,,,78447.8411375,1474.47293950637
128,CALIFORNIA LEISURE OPEN SPACE,0.35310245,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/california-leisure-open-space,963 DIXIE HWY,,,,,,,,,,,,,,,,,,,,,,,OPEN SPACE,,15381.0810546875,500.754224551641
129,PARKLAND PLAYGROUND,0.15901844,,SOUTHWEST,NEIGHBORHOOD PARK,NO, ,3200 GREENWOOD AVE,,,,,,,,,YES,,,,,,,,,,,,,,,,6926.81533046875,377.428847812561
130,ROSE FARM,1.21674939,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/rose-farm-park,4500 ROSE FARM DR,,,,,,,,,,,,,,,,,,,,,,,BENCH,,53001.3913609375,1037.23996862584
131,WATSON LANE TRAILHEAD,0.9229057,,SOUTHWEST,GREENWAY/TRAIL,NO, ,7600 WATSON LN,,,,,,,,,,,,,,,,,,YES,,,,,,,40201.6115695313,805.243821263601
132,SCHUFF LANE GREENWAY,13.61690154,,MSD,GREENWAY/TRAIL,NO, ,SCHUFF LANE,,,,,,,,,,,,,,,,,,YES,,,,,,,593149.85869375,5077.68754778947
133,CLIFTON HEIGHTS GREENWAY,4.47902254,,NATURAL AREAS,GREENWAY/TRAIL,NO, ,620R N BIRCHWOOD AVE,,,,,,,,,,,,,,,,,,,,,,,,,195105.441394531,2224.29251841054
134,CYRIL ALLGEIER COMMUNITY CENTER,12.22350395,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/cyril-allgeier,4101 CADILLAC CT,,,,,,,,,,,,,,,,,,,,,,CYRIL ALLGEIER COMMUNITY CENTER,,,532453.702039063,4232.35549316901
135,BECKLEY CREEK PARK,685.52957944,,PARKLANDS,MAJOR URBAN PARK,NO,http://www.theparklands.org/Parks/Beckley-Creek-Park,1400 S BECKLEY STATION RD,,YES,,YES,,,YES,,YES,,,,,,,,,YES,,,,,,,29861549.0340352,49483.7149751961
136,PATRIOTS PEACE MEMORIAL,0.93395756,,CREASON,NEIGHBORHOOD PARK,NO,http://www.patriotspeacememorial.org,3742 UPPER RIVER RD,,,,,,,,,,,,,,,,,,YES,,,,,,,40683.0286789063,983.153590728505
137,BUECHEL PARCEL,4.18633772,,NATURAL AREA,NATURAL AREA,NO, ,1029 SOUTHERN AVE,,,,,,,,,,,,,,,,,,,,,,,,,182356.14179375,2271.31842001109
138,MAHONEY,92.82967118,,VETTINER,FUTURE MAJOR URBAN PARK,NO, ,10903 BRENTLINGER,,,,,,,,,,,,,,,,,,,,,,,,,4043644.30188125,9517.11700691243
139,PETERSON,113.96902072,,NATURAL AREA,NATURAL AREA,NO, ,15101 TAYLORSVILLE RD,,,,,,,,,,,,,,,,,,,,,,,,,4964470.68481875,9088.68530701836
140,JEFFERSON MEMORIAL PARCEL 22,83.0448565,,NATURAL AREA,NATURAL AREA,NO,https://louisvilleky.gov/government/jefferson-memorial-forest,13111 MEDORA RD,,,,,,,,,,,,,,,,,,,,,,,,,3617419.47954375,8609.53706787585
141,SOUTHERN PARKWAY,46.2491337,,SOUTHWEST,PARKWAYS,YES, , ,,,,,,,,,,,,,,,,,,,,,,,,,2014604.20545,26990.6956712438
142,EASTERN PARKWAY,52.58346109,,CREASON,PARKWAYS,YES, , ,,,,,,,,,,,,,,,,,,,,,,,,,2290526.40295,40468.8882434086
143,NORTHWESTERN PARKWAY,22.9163728,,NORTHWEST,PARKWAYS,YES, , ,,,,,,,,,,,,,,,,,,,,,,,,,998233.2064,18629.8361330399
144,SOUTHWESTERN PARKWAY,28.67704026,,SOUTHWEST,PARKWAYS,YES, , ,,,,,,,,,,,,,,,,,,,,,,,,,1249166.87695,26350.9056741767
145,ALGONQUIN PARKWAY,62.92539397,,NORTHWEST,PARKWAYS,YES, , ,,,,,,,,,,,,,,,,,,,,,,,,,2741019.19735,45911.1803360114
146,POPE LICK PARK,594.67928308,,PARKLANDS,MAJOR URBAN PARK,NO,http://www.theparklands.org/Parks/Pope-Lick-Park, ,,,,,,,,,,,,,,,,,,,,,,,,,25904125.9540461,48439.8309361652
147,TURKEY RUN,1178.85844955,,PARKLANDS,MAJOR URBAN PARK,NO,http://www.theparklands.org/Parks/Turkey-Run-Park, ,,,,,,,,,,,,,,,,,,,,,,,,,51350868.6581031,59372.9799948064
148,BROAD RUN,799.401148,,PARKLANDS,MAJOR URBAN PARK,NO,http://www.theparklands.org/Parks/Broad-Run-Park, ,,,,,,,,,,,,,,,,,,,,,,,,,34821774.7194211,48073.2999796313
149,A.B. SAWYER GREENWAY,27.79462496,,VETTINER,GREENWAY/TRAIL,NO,https://louisvilleky.gov/government/parks/park-list/ab-sawyer-park,1100 FOREST BRIDGE RD,,,,,,,,,,,,,,,,,,YES,,,,,,,1210729.02029844,10711.6099196399
150,LOUISVILLE CHAMPIONS SOCCER,50.32460551,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/louisville-champions-park,2100 RIVER RD,,YES,,,,,,,,,YES,,,,,,,,,,,,,,2192131.04726953,8566.50974605511
151,LOUISVILLE CHAMPIONS,62.23762476,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/louisville-champions-park,2700 RIVER RD,,,,,,,,,,,,,,,,,,YES,YES,,,,DOG RUN,,2711060.09030781,10903.9339733002
152,GALVIN COURT,4.57907593,,NATURAL AREA,NATURAL AREA,NO, ,6100 GALVIN COURT,,,,,,,,,,,,,,,,,,,,,,,,,199463.749604688,3418.36200936409
153,THE STRAND,401.48578405,,PARKLANDS,MAJOR URBAN PARK,NO,http://www.theparklands.org/Parks/The-Strand, ,,,,,,,,,,,,,,,,,,,,,,,,,17488650.7985898,60963.5410068859
154,QUAIL CHASE GOLF COURSE ,302.66400394,,GOLF,GOLF COURSE,NO,https://www.quailchase.com,7000 COOPER CHAPEL ROAD,YES,YES,,,,,,,,YES,,,,,,,,,,,,,,,13183991.2756906,18175.0567518685
